"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 26 08:08:39 GMT 2023","Mon Jun 26 08:08:39 GMT 2023","28","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00045_""分类部分-3"":2组数据比较"
"passed","Mon Jun 26 08:08:49 GMT 2023","Mon Jun 26 08:08:49 GMT 2023","35","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00102_""文件大小"":2组数据比较"
"passed","Mon Jun 26 08:08:48 GMT 2023","Mon Jun 26 08:08:48 GMT 2023","23","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00088_""详情部分-13"":2组数据比较"
"passed","Mon Jun 26 08:08:45 GMT 2023","Mon Jun 26 08:08:48 GMT 2023","2691","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","https://bmall-pre.camera360.com/api/product/detail","00085_Response data获取"
"passed","Mon Jun 26 08:08:49 GMT 2023","Mon Jun 26 08:08:49 GMT 2023","48","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00116_""是否VIP使用"":2组数据比较"
"passed","Mon Jun 26 08:08:42 GMT 2023","Mon Jun 26 08:08:42 GMT 2023","19","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00051_""详情部分-13"":2组数据比较"
"failed","Mon Jun 26 08:08:48 GMT 2023","Mon Jun 26 08:08:48 GMT 2023","53","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00100_""贴纸icon+json zip包"":2组数据比较"
"failed","Mon Jun 26 08:08:42 GMT 2023","Mon Jun 26 08:08:43 GMT 2023","35","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00063_""贴纸icon+json zip包"":2组数据比较"
"passed","Mon Jun 26 08:08:41 GMT 2023","Mon Jun 26 08:08:42 GMT 2023","1143","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","https://bmall-pre.camera360.com/api/product/detail","00048_Response data获取"
"passed","Mon Jun 26 08:08:48 GMT 2023","Mon Jun 26 08:08:48 GMT 2023","35","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00093_""详情部分-2"":2组数据比较"
"passed","Mon Jun 26 08:08:42 GMT 2023","Mon Jun 26 08:08:42 GMT 2023","36","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00058_""贴纸名称"":2组数据比较"
"failed","Mon Jun 26 08:07:54 GMT 2023","Mon Jun 26 08:07:54 GMT 2023","167","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00019_""解锁类型"":2组数据比较"
"passed","Mon Jun 26 08:08:49 GMT 2023","Mon Jun 26 08:08:49 GMT 2023","49","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00110_""详情部分-8"":2组数据比较"
"passed","Mon Jun 26 08:08:43 GMT 2023","Mon Jun 26 08:08:43 GMT 2023","38","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00083_""贴纸icon AB-gid"":2组数据比较"
"failed","Mon Jun 26 08:08:53 GMT 2023","Mon Jun 26 08:08:53 GMT 2023","91","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00140_""详情部分-6"":2组数据比较"
"passed","Mon Jun 26 08:08:39 GMT 2023","Mon Jun 26 08:08:41 GMT 2023","1632","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","https://cdn-bm.camera360.com/api/product/detail","00047_Response data获取"
"failed","Mon Jun 26 08:08:39 GMT 2023","Mon Jun 26 08:08:39 GMT 2023","35","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00041_""主题贴纸类型"":2组数据比较"
"failed","Mon Jun 26 08:08:43 GMT 2023","Mon Jun 26 08:08:43 GMT 2023","37","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN1","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN1.TestDispatcher#test_api","00074_""上架时间"":2组数据比较"
"passed","Mon Jun 26 08:08:54 GMT 2023","Mon Jun 26 08:08:54 GMT 2023","47","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00144_""zip MD5"":2组数据比较"
"passed","Mon Jun 26 08:08:49 GMT 2023","Mon Jun 26 08:08:50 GMT 2023","53","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN2","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN2.TestDispatcher#test_api","00118_""贴纸icon AB"":2组数据比较"
"failed","Mon Jun 26 08:08:37 GMT 2023","Mon Jun 26 08:08:37 GMT 2023","157","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸分类&素材zh_CN","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸分类&素材zh_CN.TestDispatcher#test_api","00031_""素材部分-8"":2组数据比较"
"passed","Mon Jun 26 08:08:53 GMT 2023","Mon Jun 26 08:08:53 GMT 2023","41","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00133_""详情部分-4"":2组数据比较"
"passed","Mon Jun 26 08:08:54 GMT 2023","Mon Jun 26 08:08:54 GMT 2023","74","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE","贴纸详情zh_CN3","TestDispatcher","","","TestCase.C360_Android.相机贴纸_字段对照_Android_PRE.贴纸详情zh_CN3.TestDispatcher#test_api","00146_""icon+json MD5"":2组数据比较"
